Source_ID,URL,Organization,Page_Title,Date_Checked,Status,Notes
SRC-016,https://www.leeds.ac.uk/masters-scholarships-bursaries/doc/gazan-humanitarian-scholarship-1,University of Leeds,Gazan Humanitarian Scholarship,2026-09-12,CLOSED,2026 cycle closed April 30 2026. Recurring program expected to reopen 2027.
SRC-017,https://www.amideast.org/west-bank/find-a-scholarship/undergraduate-study/hope-fund-supplemental,AMIDEAST,Hope Fund - Supplemental,2026-09-12,CLOSED,2026 cycle closed June 20 2026. Monitor for 2027 opening.
SRC-018,https://www.ireland.ie/en/ramallah/about/ireland-palestine-scholarship-programme/,Irish Government,Ireland-Palestine Scholarship Programme,2026-09-12,CLOSED,2025-2026 cycle closed Oct 5 2025. 2026-2027 cycle expected to open later 2026.
SRC-019,https://academicsolidaritywithpalestine.org/scholarships/,Academic Solidarity with Palestine,Scholarships Directory,2026-09-12,REFERENCE_ONLY,Not a scholarship provider. Curated directory of scholarships for Palestinian students. Used for discovery and verification cross-reference.
SRC-020,https://scholarpal.io/scholarships-for-palestinians,ScholarPal,Scholarships for Palestinians,2026-09-12,REFERENCE_ONLY,Aggregator platform. Not primary source. Used for discovery only.
SRC-021,https://www.gov.uk/government/publications/support-for-students-travelling-to-the-uk-from-gaza/scholarships-for-students-from-gaza,UK Government,Support for Students from Gaza,2026-09-12,VERIFIED_ACTIVE,Official UK government policy page. Confirms Chevening priority and travel support provisions.
SRC-022,https://www.daad-eastjerusalem.org/en/,DAAD East Jerusalem,DAAD - East Jerusalem Office,2026-09-12,VERIFIED_ACTIVE,Official DAAD regional office for Palestine. In-country scholarships reference for context.
SRC-023,https://newuniversityinexileconsortium.org/palestinian-student-initiative/,New University in Exile Consortium,Palestinian Student Initiative,2026-09-12,REFERENCE_ONLY,Coordination network. Not a scholarship provider. Helpful for navigation and placement support.
SRC-024,https://pssar.ca/,Palestinian Students and Scholars at Risk,PSSAR Main Website,2026-09-12,REFERENCE_ONLY,Canadian matching network. Not formal scholarship but helpful for placement in Canada.
SRC-025,https://phoenixspace.org/home-2/leaphigher/,Phoenix Space,LEAP HIGHER - Gaza Emergency Relief,2026-09-12,REFERENCE_ONLY,Emergency program with limited spots. Status unclear for new applications Sept 2026.
